Open,High,Low,Close,Adj Close,Volume
130.130005,132.5,129.899994,131.740005,130.743546,19234500
131,132.449997,130.990005,132.369995,131.368774,8218000
131.710007,134.300003,131.630005,133.940002,132.92691,9718300
134.429993,134.429993,133.050003,133.110001,132.10318,7849100
133.259995,134.529999,132.869995,134.009995,132.996368,9375300
134,135.199997,133.419998,135.130005,134.10791,9551200
135,137.009995,134.600006,136.669998,135.636246,10048800
136.330002,137.589996,135.470001,135.740005,134.713287,9076700
135.550003,136.860001,134.960007,135.830002,134.802612,8182000
135.940002,136.889999,135.330002,135.619995,134.594177,8531700
136.720001,140.160004,136.199997,139.429993,138.375366,13347700
139.110001,140.949997,138.520004,140.100006,139.040314,10348200
140.300003,140.75,139.649994,139.800003,138.742584,6787200
140.449997,141.119995,139.660004,139.710007,138.653259,6365200
139.630005,140.089996,138.710007,139.779999,138.722717,6892200
140.070007,140.380005,139.339996,139.800003,138.742584,6241000
139.800003,140,138.869995,139.369995,138.315826,5799300
139.119995,139.460007,138.419998,139.320007,138.266205,7308200
139.399994,140.470001,139.199997,140.160004,139.099854,7236800
140.889999,140.960007,139.710007,140.610001,139.546448,8829500
140.289993,140.570007,139.610001,139.710007,138.653259,6427000
139.419998,141.770004,138.820007,140.789993,139.725082,8150700
140.770004,141.699997,140.529999,141.199997,140.131973,5778400
141.080002,141.449997,139.419998,139.669998,138.613556,6568400
139.100006,140.339996,139.029999,139.899994,138.841812,7657000
139.910004,140,137.639999,137.910004,136.866882,7615400
138,138.949997,137.550003,138.380005,137.333328,5383800
138.350006,138.589996,137.869995,137.889999,136.847031,4762200
137.899994,140,137.899994,139.630005,138.573868,6532000
139.710007,139.990005,139.110001,139.910004,138.851746,6560000
139.679993,142.740005,139.679993,142.119995,141.045013,9046500
141.539993,142.029999,140.100006,140.720001,139.655624,6361400
140.710007,141.199997,140.25,140.600006,139.536514,6117000
140,141.360001,139.449997,141.050003,140.532852,5434000
141.630005,141.720001,139.320007,140.199997,139.685974,7802800
140.449997,142.080002,140.309998,140.820007,140.303711,8769200
140.869995,140.869995,138.320007,139.550003,139.038361,8821400
138.869995,138.979996,135.910004,135.940002,135.441589,8666100
136.229996,138.979996,135.759995,138.240005,137.73317,7158400
138.809998,140.240005,138.429993,139.520004,139.008469,5363900
140,140.399994,138.770004,138.889999,138.380768,6558600
143.509995,144.580002,141.210007,141.910004,141.389709,19394600
140.710007,143.720001,140.5,141.919998,141.399658,11624900
141.5,142.869995,140.699997,142.419998,141.897827,10180300
142.520004,143.080002,141.600006,141.75,141.230286,7642500
141.759995,142.419998,141.360001,141.759995,141.24025,6315300
141.800003,142.639999,141.070007,142.339996,141.818115,7168400
142.389999,142.880005,141.759995,142.169998,141.648743,6431400
143.350006,143.679993,141.690002,141.690002,141.170517,18859000
141.929993,142.449997,141.639999,142.029999,141.509262,7062100
142.210007,142.800003,141.270004,141.660004,141.140625,6922500
141.389999,141.710007,140.089996,141.350006,140.831757,7766000
141.389999,141.850006,140.75,141.600006,141.080841,6124800
141.460007,142.289993,141.25,141.850006,141.329926,4545300
141.850006,141.970001,140.389999,140.899994,140.383392,5543600
140.509995,140.899994,139.809998,139.830002,139.317322,6706900
139.339996,140.009995,139.029999,139.080002,138.570084,5695100
139.080002,140.190002,139.080002,139.880005,139.367142,5459500
140.229996,140.850006,139.860001,140.75,140.233948,8410800
140.929993,140.929993,140.029999,140.559998,140.044647,5046900
140.839996,140.910004,139.660004,140,139.48671,6442400
139.850006,140.039993,136.970001,137.149994,136.647141,9598300
137,138.350006,136.710007,137.720001,137.215057,6447300
135.440002,136.389999,134.399994,135.169998,134.674408,14937600
135.660004,136.75,135.350006,136.399994,135.899902,6925000
136.229996,137.720001,136.229996,137.029999,136.527588,6369000
136.5,136.990005,135.929993,135.960007,135.461517,6463500
136.169998,137.240005,136.100006,136.910004,136.408035,7814700
137.130005,138.860001,136.919998,138.529999,138.022095,9546900
138.039993,138.639999,136.600006,138.100006,137.593674,5183000
137.899994,138.470001,137.229996,137.300003,136.7966,11987500
139.559998,142.580002,138.690002,141.020004,140.502975,15170400
140.410004,141.25,139.009995,139.320007,138.809204,8782900
139.350006,141.080002,139.350006,140.110001,139.596298,8760200
139.899994,140.75,139.509995,139.940002,139.426926,6093100
139.759995,141.190002,139.360001,139.710007,139.197769,8535800
138.339996,140.649994,138.220001,139.589996,139.078201,7089000
140.410004,140.839996,139.929993,140.300003,139.785614,5061800
140.690002,140.789993,139.330002,140.050003,139.53653,6505000
